Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43,Column_44,Column_45,Column_46,Column_47,Column_48,Column_49,Column_50,Column_51,Column_52,Column_53,Column_54,Column_55,Column_56,Column_57,Column_58,Column_59,Column_60,Column_61,Column_62,Column_63,Column_64,Column_65,Column_66,Column_67,Column_68,Column_69,Column_70,Column_71,Column_72,Column_73,Column_74,Column_75,Column_76,Column_77,Column_78,Column_79,Column_80,Column_81,Column_82,Column_83,Column_84,Column_85,Column_86,Column_87,Column_88,Column_89,Column_90
Rk,Player,xG,Sh,Cmp,Tkl,Off,Date,Age,Nation,Team,,Opp,Comp,Result,Start,Min,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Off,PKwon,PKcon,OG,Recov,Pos.,Match Report
2658,Bernd Leno,0.0,0,17,0,0,2019-10-27,27-237,de GER,Arsenal,,Crystal Palace,eng Premier League,D 2-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,17,21,81.0,0,0,0,0,0,348,217,4,4,100.0,11,11,100.0,2,6,33.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,GK,Match Report
2659,Conor Coady,0.0,0,57,0,0,2019-10-27,26-244,eng ENG,Wolves,@,Newcastle Utd,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,57,67,85.1,0,0,0,0,3,1248,440,10,11,90.9,35,37,94.6,11,18,61.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,0,7,DF,Match Report
2660,Moussa Sissoko,0.0,0,25,1,0,2019-10-27,30-072,fr FRA,Tottenham,@,Liverpool,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,25,34,73.5,0,0,0,0,1,329,55,19,21,90.5,4,8,50.0,1,1,100.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,0,0,0,0,8,MF,Match Report
2661,Allan Saint-Maximin,0.1,3,15,0,0,2019-10-27,22-229,fr FRA,Newcastle Utd,,Wolves,eng Premier League,D 1-1,Y,89,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,0.1,0.2,-0.1,-0.1,0.0,0.05,3,0.00,,0,0.0,22.3,0,3,0.00,,0,0.0,22.3,0,15,21,71.4,1,1,0,0,0,210,39,11,13,84.6,2,2,100.0,1,3,33.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,4,"MF,FW",Match Report
2662,Lucas Moura,0.0,0,1,1,0,2019-10-27,27-075,br BRA,Tottenham,@,Liverpool,eng Premier League,L 1-2,N,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,1,2,50.0,0,0,0,0,0,10,0,1,2,50.0,0,0,,0,0,,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,"FW,MF",Match Report
2663,Ciaran Clark,0.0,0,31,1,0,2019-10-27,30-031,ie IRL,Newcastle Utd,,Wolves,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,31,35,88.6,0,4,0,0,5,435,241,14,15,93.3,12,14,85.7,2,3,66.7,1,1,1,0,0,0,2,0.0,2,2,1,1,2,3,6,0,0,0,0,0,4,DF,Match Report
2664,Luka Milivojević,0.8,0,46,5,0,2019-10-27,28-203,rs SRB,Crystal Palace,@,Arsenal,eng Premier League,D 2-2,Y,90,1,0,1,0,1,1,0,0.8,0.0,0.0,0.8,0.0,0.0,+0.2,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,46,62,74.2,0,5,0,0,5,966,305,15,20,75.0,22,24,91.7,9,17,52.9,5,4,4,1,0,1,1,100.0,0,0,0,0,3,8,2,0,0,0,0,0,15,MF,Match Report
2665,Andrew Robertson,0.0,1,65,2,0,2019-10-27,25-230,sct SCO,Liverpool,,Tottenham,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0.3,0.5,0.0,0.0,-0.5,0.03,1,0.00,,0,0.0,24.2,0,1,0.00,,0,0.0,24.2,0,65,77,84.4,2,2,3,1,9,999,271,38,42,90.5,20,22,90.9,5,7,71.4,2,2,0,2,0,1,1,100.0,0,1,0,1,2,4,3,0,0,0,0,0,3,DF,Match Report
2666,Harry Winks,0.0,0,18,0,0,2019-10-27,23-267,eng ENG,Tottenham,@,Liverpool,eng Premier League,L 1-2,Y,62,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,18,26,69.2,0,1,0,0,0,271,111,10,14,71.4,8,9,88.9,0,2,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,3,0,0,0,0,0,9,MF,Match Report
2667,James Milner,0.0,0,1,1,0,2019-10-27,33-296,eng ENG,Liverpool,,Tottenham,eng Premier League,W 2-1,N,14,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,1,1,100.0,0,0,0,0,0,29,0,0,0,,1,1,100.0,0,0,,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,"MF,DF",Match Report
2668,Jonjo Shelvey,0.0,0,2,0,0,2019-10-27,27-242,eng ENG,Newcastle Utd,,Wolves,eng Premier League,D 1-1,N,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,2,7,28.6,0,1,0,0,1,56,34,0,0,,1,3,33.3,1,3,33.3,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,0,0,0,0,0,1,MF,Match Report
2669,Sead Kolašinac,0.0,0,6,0,0,2019-10-27,26-129,ba BIH,Arsenal,,Crystal Palace,eng Premier League,D 2-2,N,16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,6,8,75.0,0,1,0,0,1,104,27,3,4,75.0,2,3,66.7,1,1,100.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,DF,Match Report
2670,Martin Dúbravka,0.0,0,22,0,0,2019-10-27,30-285,sk SVK,Newcastle Utd,,Wolves,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,22,32,68.8,0,0,0,0,0,682,570,4,4,100.0,7,7,100.0,10,20,50.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,0,0,0,0,2,GK,Match Report
2671,Divock Origi,0.0,0,0,0,0,2019-10-27,24-192,be BEL,Liverpool,,Tottenham,eng Premier League,W 2-1,N,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
2672,Rúben Neves,0.0,1,78,4,0,2019-10-27,22-228,pt POR,Wolves,@,Newcastle Utd,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,1,0.00,,0,0.0,36.6,0,1,0.00,,0,0.0,36.6,0,78,87,89.7,0,12,0,0,8,1580,364,26,28,92.9,38,39,97.4,12,16,75.0,4,3,2,2,0,1,4,25.0,3,1,0,1,0,4,0,0,0,0,0,0,4,MF,Match Report
2673,Jamaal Lascelles,0.2,2,30,0,0,2019-10-27,25-350,eng ENG,Newcastle Utd,,Wolves,eng Premier League,D 1-1,Y,90,1,0,1,1,0,0,0,0.2,0.2,0.0,0.2,0.0,0.2,+0.8,+0.8,0.0,0.09,2,0.50,1.00,1,50.0,9.4,0,2,0.50,1.00,1,50.0,9.4,0,30,33,90.9,0,1,0,0,0,583,155,13,14,92.9,10,11,90.9,5,6,83.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,0,0,0,0,5,DF,Match Report
2674,Kenny McLean,0.0,0,34,8,0,2019-10-27,27-292,sct SCO,Norwich City,,Manchester Utd,eng Premier League,L 1-3,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,34,44,77.3,0,2,0,0,3,541,138,16,19,84.2,11,16,68.8,4,4,100.0,8,3,2,5,1,2,5,40.0,3,3,0,3,1,9,1,0,0,0,0,0,8,MF,Match Report
2675,Roberto Firmino,0.8,4,19,3,0,2019-10-27,28-025,br BRA,Liverpool,,Tottenham,eng Premier League,W 2-1,Y,89,0,0,0,0,0,0,0,0.8,0.8,0.1,0.8,0.0,0.8,-0.8,-0.8,-0.1,0.19,4,0.00,0.00,3,75.0,8.9,0,4,0.00,0.00,3,75.0,8.9,0,19,24,79.2,1,2,0,0,3,294,69,10,12,83.3,8,8,100.0,1,2,50.0,3,1,1,1,1,1,1,100.0,0,0,0,0,0,3,0,0,0,0,0,0,5,FW,Match Report
2676,James Garner,0.0,0,14,0,0,2019-10-27,18-228,eng ENG,Manchester Utd,@,Norwich City,eng Premier League,W 3-1,N,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,14,14,100.0,0,1,0,0,0,206,24,9,9,100.0,4,4,100.0,1,1,100.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,MF,Match Report
2677,Nicolas Pépé,0.1,2,29,5,0,2019-10-27,24-151,ci CIV,Arsenal,,Crystal Palace,eng Premier League,D 2-2,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.2,0.3,-0.1,-0.1,-0.2,0.07,2,0.00,,0,0.0,23.7,1,2,0.00,,0,0.0,23.7,1,29,46,63.0,4,3,0,0,6,504,195,19,20,95.0,4,10,40.0,6,12,50.0,5,2,4,1,0,0,0,,0,0,0,0,1,6,0,0,0,0,0,0,6,FW,Match Report
2678,Mason Greenwood,0.3,1,8,0,0,2019-10-27,18-026,eng ENG,Manchester Utd,@,Norwich City,eng Premier League,W 3-1,N,16,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0.0,0.3,-0.3,-0.3,0.0,0.26,1,0.00,0.00,1,100.0,13.1,0,1,0.00,0.00,1,100.0,13.1,0,8,8,100.0,0,0,0,0,0,91,19,7,7,100.0,1,1,100.0,0,0,,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
2679,Leander Dendoncker,0.0,0,44,1,0,2019-10-27,24-195,be BEL,Wolves,@,Newcastle Utd,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,44,50,88.0,0,4,0,0,4,857,120,16,18,88.9,17,20,85.0,10,10,100.0,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,1,0,0,0,0,0,1,"MF,DF",Match Report
2680,Serge Aurier,0.0,0,20,2,0,2019-10-27,26-307,ci CIV,Tottenham,@,Liverpool,eng Premier League,L 1-2,Y,83,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,20,33,60.6,1,1,1,1,1,393,235,11,13,84.6,6,11,54.5,3,6,50.0,2,1,1,1,0,1,1,100.0,0,0,0,0,1,3,3,0,0,0,1,0,3,DF,Match Report
2681,Tanguy Ndombele,0.0,1,10,0,0,2019-10-27,22-303,fr FRA,Tottenham,@,Liverpool,eng Premier League,L 1-2,N,28,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,-0.1,0.01,1,0.00,0.00,1,100.0,51.4,0,1,0.00,0.00,1,100.0,51.4,0,10,15,66.7,2,1,3,0,5,194,98,6,6,100.0,2,4,50.0,2,2,100.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,2,MF,Match Report
2682,Mattéo Guendouzi,0.0,1,50,0,0,2019-10-27,20-196,fr FRA,Arsenal,,Crystal Palace,eng Premier League,D 2-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0.2,0.2,0.0,0.0,-0.1,0.03,1,0.00,0.00,1,100.0,28.2,0,1,0.00,0.00,1,100.0,28.2,0,50,58,86.2,2,12,1,0,15,997,342,18,21,85.7,27,28,96.4,4,6,66.7,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,0,0,0,0,8,MF,Match Report
2683,Patrick van Aanholt,0.1,1,35,2,0,2019-10-27,29-059,nl NED,Crystal Palace,@,Arsenal,eng Premier League,D 2-2,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,-0.1,-0.1,-0.1,0.05,1,0.00,0.00,1,100.0,16.3,0,1,0.00,0.00,1,100.0,16.3,0,35,42,83.3,2,4,0,0,3,637,234,15,16,93.8,15,16,93.8,5,8,62.5,2,1,0,2,0,1,2,50.0,1,0,0,0,1,3,3,0,0,0,0,0,5,DF,Match Report
2684,Paulo Gazzaniga,0.0,0,16,0,0,2019-10-27,27-298,ar ARG,Tottenham,@,Liverpool,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,-0.3,,0,,,0,,,0,0,,,0,,,0,16,33,48.5,1,2,0,0,0,537,408,2,2,100.0,7,7,100.0,7,24,29.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
2685,James McCarthy,0.0,0,0,0,0,2019-10-27,28-349,ie IRL,Crystal Palace,@,Arsenal,eng Premier League,D 2-2,N,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,MF,Match Report
2686,Andreas Pereira,0.1,2,25,0,0,2019-10-27,23-299,br BRA,Manchester Utd,@,Norwich City,eng Premier League,W 3-1,Y,81,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.1,0.2,-0.1,-0.1,-0.2,0.03,2,0.00,,0,0.0,25.8,0,2,0.00,,0,0.0,25.8,0,25,41,61.0,3,1,0,0,2,434,126,11,14,78.6,7,10,70.0,4,12,33.3,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,0,0,0,0,4,"MF,FW",Match Report
2687,Emi Buendía,0.0,0,41,5,0,2019-10-27,22-306,ar ARG,Norwich City,,Manchester Utd,eng Premier League,L 1-3,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0.3,0.2,0.0,0.0,-0.2,,0,,,0,,,0,0,,,0,,,0,41,53,77.4,2,3,1,0,5,550,137,30,34,88.2,5,7,71.4,4,8,50.0,5,2,4,1,0,3,9,33.3,6,0,0,0,0,5,1,0,0,0,0,0,6,"FW,MF",Match Report
2688,Alexander Tettey,0.0,0,38,3,0,2019-10-27,33-206,no NOR,Norwich City,,Manchester Utd,eng Premier League,L 1-3,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,38,45,84.4,0,1,0,0,1,603,184,18,19,94.7,16,17,94.1,2,5,40.0,3,2,1,2,0,1,3,33.3,2,2,1,1,2,5,4,0,0,0,0,0,12,"MF,DF",Match Report
2689,Wayne Hennessey,0.0,0,24,0,0,2019-10-27,32-276,wls WAL,Crystal Palace,@,Arsenal,eng Premier League,D 2-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,24,36,66.7,0,1,0,0,0,1119,1076,2,2,100.0,4,4,100.0,18,29,62.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,GK,Match Report
2690,Max Aarons,0.0,0,34,3,0,2019-10-27,19-296,eng ENG,Norwich City,,Manchester Utd,eng Premier League,L 1-3,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0.3,0.5,0.0,0.0,-0.5,,0,,,0,,,0,0,,,0,,,0,34,38,89.5,2,2,1,0,3,434,156,24,26,92.3,8,9,88.9,1,1,100.0,3,3,3,0,0,2,3,66.7,1,0,0,0,1,4,2,0,0,0,0,0,5,DF,Match Report
2691,Gary Cahill,0.0,1,24,0,0,2019-10-27,33-312,eng ENG,Crystal Palace,@,Arsenal,eng Premier League,D 2-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1,0.00,,0,0.0,16.6,0,1,0.00,,0,0.0,16.6,0,24,28,85.7,0,3,0,0,2,483,174,10,11,90.9,12,15,80.0,2,2,100.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,7,0,0,0,0,0,2,DF,Match Report
2692,Rui Patrício,0.0,0,12,0,0,2019-10-27,31-254,pt POR,Wolves,@,Newcastle Utd,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,12,17,70.6,0,0,0,0,0,425,351,1,1,100.0,5,5,100.0,6,10,60.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
2693,Joe Gomez,0.0,0,2,0,0,2019-10-27,22-157,eng ENG,Liverpool,,Tottenham,eng Premier League,W 2-1,N,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,2,2,100.0,0,1,0,0,1,28,16,1,1,100.0,1,1,100.0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,1,DF,Match Report
2694,Alisson,0.0,0,29,0,0,2019-10-27,27-025,br BRA,Liverpool,,Tottenham,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,29,37,78.4,0,0,0,0,0,772,514,7,7,100.0,11,11,100.0,11,19,57.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,2,GK,Match Report
2695,Pedro Neto,0.0,1,10,0,0,2019-10-27,19-232,pt POR,Wolves,@,Newcastle Utd,eng Premier League,D 1-1,N,21,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1,0.00,,0,0.0,27.8,0,1,0.00,,0,0.0,27.8,0,10,11,90.9,0,0,0,0,1,171,5,5,5,100.0,3,4,75.0,1,1,100.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,"FW,MF",Match Report
2696,David de Gea,0.0,0,11,0,0,2019-10-27,28-354,es ESP,Manchester Utd,@,Norwich City,eng Premier League,W 3-1,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,11,19,57.9,0,0,0,0,0,403,311,1,1,100.0,3,3,100.0,7,15,46.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
2697,Fabinho,0.0,1,80,4,0,2019-10-27,26-004,br BRA,Liverpool,,Tottenham,eng Premier League,W 2-1,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,-0.1,0.02,1,0.00,,0,0.0,33.2,0,1,0.00,,0,0.0,33.2,0,80,92,87.0,2,10,3,1,15,1574,324,24,26,92.3,43,48,89.6,12,14,85.7,4,3,1,3,0,2,3,66.7,1,3,0,3,3,7,0,0,0,0,0,0,11,MF,Match Report
2698,Jesse Lingard,0.0,1,8,2,0,2019-10-27,26-316,eng ENG,Manchester Utd,@,Norwich City,eng Premier League,W 3-1,N,11,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0.1,0.3,0.0,0.0,-0.3,0.03,1,0.00,,0,0.0,28.3,0,1,0.00,,0,0.0,28.3,0,8,10,80.0,1,1,1,0,1,135,31,5,6,83.3,2,3,66.7,1,1,100.0,2,0,1,0,1,2,2,100.0,0,0,0,0,0,2,0,0,0,0,0,0,3,"MF,FW",Match Report
2699,Miguel Almirón,0.4,2,25,2,1,2019-10-27,25-259,py PAR,Newcastle Utd,,Wolves,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.0,0.5,-0.4,-0.4,-0.1,0.20,2,0.00,,0,0.0,7.7,0,2,0.00,,0,0.0,7.7,0,25,31,80.6,2,0,0,0,3,285,45,12,15,80.0,8,9,88.9,0,1,0.0,2,2,1,1,0,0,2,0.0,2,0,0,0,1,3,2,0,1,0,0,0,5,"MF,FW",Match Report
2700,Christian Atsu,0.0,0,2,0,0,2019-10-27,27-290,gh GHA,Newcastle Utd,,Wolves,eng Premier League,D 1-1,N,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,2,3,66.7,0,0,0,0,0,28,0,0,0,,1,1,100.0,0,1,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,FW",Match Report
2701,Danny Rose,0.1,1,20,4,0,2019-10-27,29-117,eng ENG,Tottenham,@,Liverpool,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,-0.1,-0.1,-0.1,0.07,1,0.00,,0,0.0,12.9,0,1,0.00,,0,0.0,12.9,0,20,37,54.1,2,4,0,0,5,359,199,8,13,61.5,10,14,71.4,2,7,28.6,4,3,2,2,0,4,6,66.7,2,2,1,1,2,6,7,1,0,0,0,0,5,DF,Match Report
2702,Joel Ward,0.0,0,34,2,0,2019-10-27,29-363,eng ENG,Crystal Palace,@,Arsenal,eng Premier League,D 2-2,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,34,43,79.1,0,3,1,0,5,555,278,19,22,86.4,13,15,86.7,2,5,40.0,2,2,2,0,0,1,1,100.0,0,0,0,0,1,3,7,0,0,0,0,0,5,DF,Match Report
2703,Anthony Martial,2.2,3,20,0,0,2019-10-27,23-326,fr FRA,Manchester Utd,@,Norwich City,eng Premier League,W 3-1,Y,74,1,0,1,1,0,1,1,2.2,1.4,0.1,2.3,0.1,1.5,-1.2,-0.4,-0.1,0.48,3,0.33,0.33,3,100.0,10.9,0,3,0.33,0.33,3,100.0,10.9,0,20,25,80.0,1,1,3,0,6,243,91,12,14,85.7,4,4,100.0,1,1,100.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,2,FW,Match Report
2704,Cheikhou Kouyaté,0.0,0,23,0,0,2019-10-27,29-310,sn SEN,Crystal Palace,@,Arsenal,eng Premier League,D 2-2,Y,89,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,-0.1,,0,,,0,,,0,0,,,0,,,0,23,36,63.9,1,1,0,0,1,321,110,12,16,75.0,10,15,66.7,0,2,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,0,0,0,4,"MF,DF",Match Report
2705,Jetro Willems,0.1,2,25,5,0,2019-10-27,25-211,nl NED,Newcastle Utd,,Wolves,eng Premier League,D 1-1,Y,90,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.1,-0.1,-0.1,0.0,0.04,2,0.00,0.00,1,50.0,19.7,0,2,0.00,0.00,1,50.0,19.7,0,25,38,65.8,1,2,1,1,3,406,222,9,14,64.3,13,19,68.4,1,2,50.0,5,3,4,1,0,3,5,60.0,2,2,1,1,0,5,2,0,0,0,0,0,7,DF,Match Report
2706,Ibrahim Amadou,0.0,0,35,1,0,2019-10-27,26-204,fr FRA,Norwich City,,Manchester Utd,eng Premier League,L 1-3,Y,90,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,35,38,92.1,0,0,0,0,0,675,265,9,9,100.0,22,23,95.7,4,6,66.7,1,1,1,0,0,0,0,,0,0,0,0,0,1,5,1,0,0,0,0,3,"DF,MF",Match Report
2707,Son Heung-min,0.5,5,18,2,2,2019-10-27,27-111,kr KOR,Tottenham,@,Liverpool,eng Premier League,L 1-2,Y,90,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0.0,0.5,-0.5,-0.5,0.0,0.10,5,0.00,0.00,1,20.0,17.0,0,5,0.00,0.00,1,20.0,17.0,0,18,23,78.3,0,0,0,0,1,212,40,13,15,86.7,5,7,71.4,0,0,,2,1,0,2,0,2,3,66.7,1,2,0,2,1,3,3,0,2,0,0,0,8,FW,Match Report
2708,Jordan Henderson,0.1,1,37,2,0,2019-10-27,29-132,eng ENG,Liverpool,,Tottenham,eng Premier League,W 2-1,Y,90,1,0,1,1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,+0.9,+0.9,-0.1,0.06,1,1.00,1.00,1,100.0,10.8,0,1,1.00,1.00,1,100.0,10.8,0,37,62,59.7,1,2,1,1,6,645,109,16,21,76.2,16,25,64.0,3,9,33.3,2,2,0,2,0,0,2,0.0,2,2,0,2,1,3,0,0,0,0,0,0,11,MF,Match Report
2709,Moritz Leitner,0.0,0,16,1,0,2019-10-27,26-323,de GER,Norwich City,,Manchester Utd,eng Premier League,L 1-3,Y,45,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,16,20,80.0,0,0,0,0,0,183,7,11,12,91.7,3,5,60.0,0,0,,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,0,0,0,0,2,MF,Match Report
